Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_406531	hCoV-19/Guangdong/20SF174/2020	Asia / China / Guangdong / Zhuhai	2020-01-22	Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Disease Control and Prevention	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406536	hCoV-19/Foshan/20SF211/2020	Asia / China / Guangdong / Foshan	2020-01-22	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406538	hCoV-19/Guangdong/20SF201/2020	Asia / China / Guangdong	2020-01-23	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Guangdong Provincial Center for Diseases Control and Prevention	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406533	hCoV-19/Guangzhou/20SF206/2020	Asia / China / Guangdong / Guangzhou	2020-01-22	Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Diseases Control and Prevention	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406534	hCoV-19/Foshan/20SF207/2020	Asia / China / Guangdong / Foshan	2020-01-22	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_406535	hCoV-19/Foshan/20SF210/2020	Asia / China / Guangdong / Foshan	2020-01-22	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_407893	hCoV-19/Australia/NSW01/2020	Oceania / Australia / New South Wales / Sydney	2020-01-24	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, OSullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group"
EPI_ISL_407894	hCoV-19/Australia/QLD01/2020	Oceania / Australia / Queensland / Gold Coast	2020-01-28	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_411902	hCoV-19/Cambodia/0012/2020	Asia / Cambodia / Sihanoukville	2020-01-27	"Virology Unit, Institut Pasteur du Cambodge."	"Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub) "	"Erik A Karlsson, Jennifer A Bohl, Vida Ahyong, Veasna Duong, Philippe Dussart, Jessica E Manning."
EPI_ISL_407896	hCoV-19/Australia/QLD02/2020	Oceania / Australia / Queensland / Gold Coast	2020-01-30	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_406594	hCoV-19/Shenzhen/SZTH-003/2020	Asia / China / Guandong / Shenzhen	2020-01-16	"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"	"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"	"Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu"
EPI_ISL_406596	hCoV-19/France/IDF0372/2020	Europe / France / Ile-de-France / Paris	2020-01-23	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mlanie Albert, Marion Barbet, Sylvie Behillil, Mline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure."
EPI_ISL_406597	hCoV-19/France/IDF0373/2020	Europe / France / Ile-de-France / Paris	2020-01-23	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mlanie Albert, Marion Barbet, Sylvie Behillil, Mline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure."
EPI_ISL_406593	hCoV-19/Shenzhen/SZTH-002/2020	Asia / China / Guandong / Shenzhen	2020-01-13	"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"	"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"	"Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu"
EPI_ISL_413221	hCoV-19/Scotland/CVR01/2020	Europe / United Kingdom / Scotland	2020-03-02	"West of Scotland Specialist Virology Centre, NHSGGC"	MRC-University of Glasgow Centre for Virus Research	"Emma Thomson, Antonia Ho; James Shephard, Shirin Ashraf; Kathy Smollett, Daniel Mair, Stephen Carmichael, Ana da Silva Filipe; Richard Orton, Josh Singer, David L Robertson; Andrew Rambaut; Alasdair MacLean, Rory Gunson."
EPI_ISL_411066	hCoV-19/Fujian/13/2020	Asia / China / Fujian	2020-01-22	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	"Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei"
EPI_ISL_411060	hCoV-19/Fujian/8/2020	Asia / China / Fujian	2020-01-21	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	"Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei"
EPI_ISL_402129	hCoV-19/Wuhan/WIV06/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_414598	hCoV-19/Spain/Valencia3/2020	Europe / Spain / Comunitat Valenciana /Valencia	2020-03-05	"Servicio Microbiologia, Hospital Clinico Universitario, Valencia"	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health.	"David Navarro, Maria Alma Bracho, Giuseppe D'Auria, Griselda De Marco, Neris Garcia-Gonzalez, Fernando Gonzalez-Candelas"
EPI_ISL_406970	hCoV-19/Hangzhou/HZ-1/2020	Asia / China / Zhejiang / Hangzhou	2020-01-20	Hangzhou Center for Disease and Control Microbiology Lab	Hangzhou Center for Disease and Control Microbiology Lab	"Yu Hua, Wang Haoqiu, Li Jun, Yu Xinfeng"
EPI_ISL_402130	hCoV-19/Wuhan/WIV07/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402132	hCoV-19/Wuhan/HBCDC-HB-01/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_406973	hCoV-19/Singapore/1/2020	Asia / Singapore	2020-01-23	Singapore General Hospital	National Public Health Laboratory	"Mak, TM; Octavia S; Chavatte JM; Zhou, ZY; Cui, L; Lin, RTP"
EPI_ISL_402119	hCoV-19/Wuhan/IVDC-HB-01/2019	Asia / China / Hubei / Wuhan	2019-12-30	"National Institute for Viral Disease Control and Prevention, China CDC"	"National Institute for Viral Disease Control and Prevention, China CDC"	"Wenjie Tan_Xiang Zhao_Wenling Wang_Xuejun Ma_Yongzhong Jiang_Roujian Lu, Ji Wang, Weimin Zhou_Peihua Niu_Peipei Liu_Faxian Zhan_Weifeng Shi_Baoying Huang_Jun Liu_Li Zhao_Yao Meng_Xiaozhou He_Fei Ye_Na Zhu_Yang Li_Jing Chen_Wenbo Xu_George F. Gao_Guizhen Wu"
EPI_ISL_402120	hCoV-19/Wuhan/IVDC-HB-04/2020	Asia / China / Hubei / Wuhan	2020-01-01	"National Institute for Viral Disease Control and Prevention, China CDC"	"National Institute for Viral Disease Control and Prevention, China CDC"	Wenjie Tan_Xiang Zhao_Wenling Wang_Xuejun Ma_Yongzhong Jiang_Roujian Lu_Ji Wang_Weimin Zhou_Peihua Niu_Peipei Liu_Faxian Zhan_Weifeng Shi_Baoying Huang_Jun Liu_Li Zhao_Yao Meng_Xiaozhou He_Fei Ye_Na Zhu_Yang Li_Jing Chen_Wenbo Xu_George F. Gao_Guizhen Wu
EPI_ISL_402123	hCoV-19/Wuhan/IPBCAMS-WH-01/2019	Asia / China / Hubei / Wuhan	2019-12-24	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_402124	hCoV-19/Wuhan/WIV04/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402121	hCoV-19/Wuhan/IVDC-HB-05/2019	Asia / China / Hubei / Wuhan	2019-12-30	"National Institute for Viral Disease Control and Prevention, China CDC"	"National Institute for Viral Disease Control and Prevention, China CDC"	"Wenjie Tan_Xuejun Ma_Xiang Zhao_Wenling Wang_Yongzhong Jiang_Roujian Lu_Ji Wang_Peihua Niu, Weimin Zhou, Faxian Zhan_Weifeng Shi_Baoying Huang_Jun Liu_Li Zhao_Yao Meng_Fei Ye_Na Zhu, Xiaozhou He_Peipei Liu, Yang Li_Jing Chen_Wenbo Xu_George F. Gao_Guizhen Wu"
EPI_ISL_402127	hCoV-19/Wuhan/WIV02/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402128	hCoV-19/Wuhan/WIV05/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	"Wuhan Institute of Virology, Chinese Academy of Sciences"	"Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi"
EPI_ISL_402125	hCoV-19/Wuhan-Hu-1/2019	Asia / China	2019-12-31	unknown	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	"Zhang,Y.-Z., Wu,F., Chen,Y.-M., Pei,Y.-Y., Xu,L., Wang,W., Zhao,S., Yu,B., Hu,Y., Tao,Z.-W., Song,Z.-G., Tian,J.-H., Zhang,Y.-L., Liu,Y., Zheng,J.-J., Dai,F.-H., Wang,Q.-M., She,J.-L. and Zhu,T.-Y."
EPI_ISL_413613	hCoV-19/USA/CruiseA-8/2020	North America / USA	2020-02-17	unknown	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_413619	hCoV-19/USA/CruiseA-14/2020	North America / USA	2020-02-25	unknown	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Clinton R. Paden, Ying Tao, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_413610	hCoV-19/USA/CruiseA-5/2020	North America / USA	2020-02-21	unknown	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong"
EPI_ISL_413602	hCoV-19/Finland/FIN03032020A/2020	Europe / Finland / Helsinki	2020-03-03	"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland"	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"	"Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti"
EPI_ISL_413603	hCoV-19/Finland/FIN03032020B/2020	Europe / Finland / Helsinki	2020-03-03	"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland"	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"	"Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti"
EPI_ISL_413604	hCoV-19/Finland/FIN03032020C/2020	Europe / Finland / Helsinki	2020-03-03	"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland "	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"	"Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti"
EPI_ISL_413605	hCoV-19/Finland/FIN01032020/2020	Europe / Finland / Helsinki	2020-03-01	"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland"	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"	"Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti"
EPI_ISL_413653	hCoV-19/USA/WA18-UW14/2020	North America / USA / Washington	2020-03-05	UW Virology Lab	UW Virology Lab	"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
EPI_ISL_413647	hCoV-19/Portugal/CV62/2020	Europe / Portugal	2020-03-01	"Centro Hospital do Porto, E.P.E. - H. Geral de Santo Antonio"	Instituto Nacional de Saude (INSA)	"Raquel Guiomar, Ins Costa, Pedro Pechirra, Joana Mendona, Lus Vieira, Helena Ramos, Joana Isidro, Vtor Borges, Joo Paulo Gomes"
EPI_ISL_413648	hCoV-19/Portugal/CV63/2020	Europe / Portugal	2020-03-01	"Centro Hospitalar e Universitrio de Sao Joao, Porto"	Instituto Nacional de Saude (INSA)	"Raquel Guiomar, Ins Costa, Pedro Pechirra, Joana Mendona, Lus Vieira, Joo Tiago Guimares, Joana Isidro, Vtor Borges, Joo Paulo Gomes "
EPI_ISL_408431	hCoV-19/France/IDF0626/2020	Europe / France / Ile-de-France / Paris	2020-01-29	"Sorbonne Universit, Inserm et Assistance Publique-Hpitaux de Paris (Piti Salptrire)"	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mlanie Albert, Marion Barbet, Sylvie Behillil, Mline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Sonia Burrel, Anne-Genevive Marcelin, Vincent Calvez, David Boutolleau, Elise Klment, Valrie Pourcher, Eric Caumes."
EPI_ISL_408430	hCoV-19/France/IDF0515/2020	Europe / France / Ile-de-France / Paris	2020-01-29	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mlanie Albert, Marion Barbet, Sylvie Behillil, Mline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure"
EPI_ISL_412912	hCoV-19/Germany/Baden-Wuerttemberg-1/2020	Europe / Germany / Baden-Wuerttemberg	2020-02-25	State Health Office Baden-Wuerttemberg	"Charite_ Universittsmedizin Berlin, Institute of Virology "	"Victor M Corman, Julia Schneider, Barbara Mu_hlemann, Talitha Veith, Jrn Beheim-Schwarzbach, Terry Jones, Rainer Oehme, Silke Fischer, Christian Drosten"
EPI_ISL_412971	hCoV-19/Finland/FIN-25/2020	Europe / Finland / Helsinki	2020-02-25	"HUS Diagnostiikkakeskus, Hallinto "	"Department of Virology Faculty of Medicine, Medicum University of Helsinki"	"Teemu Smura, Suvi Kuivanen, Hannimari Kallio-Kokko, Olli Vapalahti"
EPI_ISL_412972	hCoV-19/Mexico/CDMX-InDRE_01/2020	North America / Mexico / Mexico City	2020-02-27	Instituto Nacional de Enfermedades Respiratorias	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	"Ramirez-Gonzalez Ernesto, Garces-Ayala Fabiola, Araiza-Rodriguez Adnan, Mendieta-Condado Edgar, Rodriguez-Maldonado Abril, Wong-Arambula Claudia, Vazquez-Perez Joel, Martinez Arturo, Boukadida Celia, Munoz-Medina Esteban, Sanchez Alejandro, Isa Pavel, Taboada Blanca, Lopez Susana, Arias Carlos, Barrera-Badillo Gisela, Hernandez-Rivas Lucia, Lopez-Martinez Irma"
EPI_ISL_412973	hCoV-19/Italy/CDG1/2020	Europe / Italy / Lombardy	2020-02-20	"Department of Infectious Diseases, Istituto Superiore di Sanit, Roma , Italy"	"Virology Laboratory, Scientific Department, Army Medical Center"	"Paola Stefanelli, Stefano Fiore, Antonella Marchi, Eleonora Benedetti, Concetta Fabiani, Giovanni Faggioni, Antonella Fortunato, Riccardo De Santis, Silvia Fillo, Anna Anselmo, Andrea Ciammaruconi, Stefano Palomba, Florigio Lista"
EPI_ISL_412974	hCoV-19/Italy/SPL1/2020	Europe / Italy / Rome	2020-01-29	"Department of Infectious Diseases, Istituto Superiore di Sanit, Rome, Italy"	"Virology Laboratory, Scientific Department, Army Medical Center"	"Paola Stefanelli, Stefano Fiore, Antonella Marchi, Eleonora Benedetti, Concetta Fabiani, Giovanni Faggioni, Antonella Fortunato, Silvia Fillo, Riccardo De Santis, Andrea Ciammaruconi, Giancarlo Petralito, Filippo Molinari, Florigio Lista"
EPI_ISL_412964	hCoV-19/Brazil/SPBR-01/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-02-25	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory	"Jaqueline Goes de Jesus, Claudio Tavares Sacchi, Daniela Bernardes Borges da Silva, Ingra Morales Claro, Flvia Cristina da Silva Sales, Claudia Regina Gonalves, Joshua Quick, Maria do Carmo, Sampaio Tavares Timenetsky, Nicholas James Loman, Andrew Rambaut, Ester Cerdeira Sabino, Nuno Rodrigues Faria"
EPI_ISL_412965	hCoV-19/Canada/BC_37_0-2/2020	North America / Canada / British Columbia	2020-02-16	BCCDC Public Health Laboratory 	BCCDC Public Health Laboratory 	"Harrigan, Prystajecky, Krajden, Lee, Kamelian, Lapointe, Choi, Hoang, Sekirov, Levett, Tyson, Loman, Quick, Li, Gilmour "
EPI_ISL_408478	hCoV-19/Chongqing/YC01/2020	Asia / China / Chongqinq / Yongchuan	2020-01-21	Yongchuan District Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	"Ye Sheng, Tang Yun, Ling Hua,Yu zhen,Chen Shuang,Tan ZhangPing, Su Kun, Li Qing, Tang Wenge, Rong Rong"
EPI_ISL_412966	hCoV-19/China/IQTC01/2020	Asia / China / Guangdong / Guangzhou	2020-02-05	unknown	"Technology Centre, Guangzhou Customs"	"Shi,Y., Sun,J., Zheng,K., Huang,J. and Zhao,J."
EPI_ISL_412967	hCoV-19/China/IQTC02/2020	Asia / China / Guangzhou	2020-01-29	unknown	"Technology Centre, Guangzhou Customs"	"Shi,Y., Zheng,K., Sun,J., Huang,J., Zhu,A., Zhuang,Z., Dai,J., Chen,Z., Sun,F., Zhang,Z., Li,X. and Wang,Y."
EPI_ISL_412968	hCoV-19/Japan/Hu_DP_Kng_19-020/2020	Asia / Japan	2020-02-10	unknown	"Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology"	"Hishiki,T., Suzuki,R., Sakuragi,J., Usui,K., Tanaka,Y., Kawai,J., Kogo,Y., Matsuki,Y., An,T., Hayashizaki,Y. and Takasaki,T."
EPI_ISL_412969	hCoV-19/Japan/Hu_DP_Kng_19-027/2020	Asia / Japan	2020-02-10	unknown	"Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology"	"Hishiki,T., Suzuki,R., Sakuragi,J., Usui,K., Tanaka,Y., Kawai,J., Kogo,Y., Matsuki,Y., An,T., Hayashizaki,Y. and Takasaki,T."
EPI_ISL_408479	hCoV-19/Chongqing/ZX01/2020	Asia / China / Chongqing / Zhongxian	2020-01-23	Zhongxian Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	"Ye Sheng, Tang Yun, Ling Hua, Zhang Hong, Yu zhen,Chen Shuang,Tan ZhangPing, Su Kun, Li Qin, Tang Wenge, Rong Rong"
EPI_ISL_410301	hCoV-19/Nepal/61/2020	Asia / Nepal / Kathmandu	2020-01-13	"National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal"	The University of Hong Kong	"Ranjit Sah , Runa Jha, Daniel Chu, Haogao Gu, Malik Peiris, Anup Bastola, Alfonso J. Rodriguez-Morales, Bibek Kumar Lal, Basu Dev Pandey, Leo Poon"
EPI_ISL_408010	hCoV-19/USA/CA5/2020	North America / USA / California	2020-01-29	California Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Ying Tao, Krista Queen, Jing Zhang, Yan Li, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_412980	hCoV-19/Wuhan/HBCDC-HB-04/2020	Asia / China / Hubei / Wuhan	2020-01-18	"Union Hospital of Tongji Medical College, Huazhong University of Science and Technology"	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_408481	hCoV-19/Chongqing/IVDC-CQ-001/2020	Asia / China / Chongqing	2020-01-18	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Hengqin Wang, Xiang Zhao, Wenling Wang, Peihua Niu, Roujian Lu, Sheng Ye, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408480	hCoV-19/Yunnan/IVDC-YN-003/2020	Asia / China / Yunnan / Kunming	2020-01-17	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan_Xiaoqing Fu_Xiang Zhao_Wenling Wang_ Peihua Niu_Roujian Lu,Yanhong Sun_Baoying Huang_Li Zhao_Fei Ye_Wenbo Xu_George F. Gao_Guizhen Wu "
